Participant,Pretest.Type,Motivation.Score,Strategy.Score,Pretest.Score,Posttest.Score,Avg.PupilSize,text_1.Hit,text_1.Duration,text_2.Hit,text_2.Duration,text_3.Hit,text_3.Duration,text_4.Hit,text_4.Duration,text_5.Hit,text_5.Duration,text_6.Hit,text_6.Duration,text_7.Hit,text_7.Duration,table.Hit,table.Duration,membrane_top.Hit,membrane_top.Duration,membrane_bottom.Hit,membrane_bottom.Duration,membrane_left.Hit,membrane_left.Duration,membrane_right.Hit,membrane_right.Duration,k_1.Hit,k_1.Duration,k_2.Hit,k_2.Duration,k_3.Hit,k_3.Duration,k_4.Hit,k_4.Duration,k_5.Hit,k_5.Duration,k_6.Hit,k_6.Duration,k_7.Hit,k_7.Duration,formula_1.Hit,formula_1.Duration,formula_2.Hit,formula_2.Duration,formula_3.Hit,formula_3.Duration,cl_1.Hit,cl_1.Duration,cl_2.Hit,cl_2.Duration,cl_3.Hit,cl_3.Duration,channel_1.Hit,channel_1.Duration,channel_2.Hit,channel_2.Duration,channel_3.Hit,channel_3.Duration,channel_4.Hit,channel_4.Duration,channel_5.Hit,channel_5.Duration,graph_1.Hit,graph_1.Duration,graph_2.Hit,graph_2.Duration,K+ ions.Hit,K+ ions.Duration,electrical gradient.Hit,electrical gradient.Duration,Na channel.Hit,Na channel.Duration,chemical gradient.Hit,chemical gradient.Duration,Resting membrane potential.Hit,Resting membrane potential.Duration,Na-K Pump.Hit,Na-K Pump.Duration,k channel.Hit,k channel.Duration,cl channel.Hit,cl channel.Duration,Cl- ions.Hit,Cl- ions.Duration,permeability.Hit,permeability.Duration,axon.Hit,axon.Duration,na ions.Hit,na ions.Duration,neuron.Hit,neuron.Duration,diffusion.Hit,diffusion.Duration
Aberfeldy_1_1,T,29,27,0,4,12.00363392,3,1154,23,7267,18,11840,0,0,0,0,0,0,0,0,0,0,12,2408,0,0,0,0,20,4850,0,0,2,216,0,0,1,223,7,1044,4,443,8,6284,3,421,17,3566,0,0,2,891,2,251,11,2518,11,3299,4,718,12,1865,0,0,4,505,13,3172,46,12307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberfeldy_1_2,T,24,28,0,3,13.25704638,1,313,16,2092,2,217,6,984,14,2276,22,2727,2,478,1,68,45,7391,40,6714,4,630,64,10252,0,0,4,320,15,2136,10,1297,12,2654,8,1017,0,0,89,17077,39,4666,73,11474,11,1936,1,228,77,14168,52,12974,11,1150,24,4829,12,1838,7,1576,19,4266,17,3456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberfeldy_2_1,T,34,28,0,4,12.17479079,1,947,30,13647,16,5684,18,5805,11,2994,5,5483,0,0,0,0,41,27815,56,18566,25,12532,45,26061,0,0,12,7301,20,8137,27,10913,36,12576,13,3755,6,938,135,40480,64,20645,91,30672,47,17222,1,287,34,8809,77,41009,31,10259,9,1733,70,27445,6,4155,9,2568,11,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberfeldy_2_2,T,34,29,0,3,12.10208386,2,402,26,8826,21,7950,30,7327,14,3959,10,5139,0,0,2,4820,33,19939,101,31255,49,11832,43,15554,6,1304,25,9596,21,5031,24,10327,25,9408,10,2000,4,751,123,30501,35,10952,118,26922,48,16715,1,244,30,10372,119,41169,29,5372,14,2735,39,12873,11,6200,18,3336,36,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardbeg_2_1,T,36,34,1,6,15.18232749,3,1689,36,16547,24,14126,32,7147,19,11208,21,7561,2,574,11,3043,20,12212,49,12134,23,10134,36,13592,6,1843,21,7998,26,6794,34,11325,27,10174,30,9528,23,7729,108,34304,49,18385,187,59664,69,21339,2,242,45,10941,213,59651,25,7371,22,7230,64,22199,5,3064,32,6175,116,37317,131,54863,13,6253,46,14306,11,3583,160,48083,34,10046,150,64647,57,22817,8,2829,31,12015,5,1502,0,0,0,0,6,2112
Ardbeg_2_2,S,38,41,4,5,13.74197202,0,0,76,23317,29,6884,41,12485,52,8022,43,11767,4,1415,16,3255,3,499,73,27194,25,7325,37,22279,0,0,7,1950,22,9440,18,5525,8,2091,25,6301,3,657,90,31078,43,12836,222,40300,26,6149,1,629,45,14823,101,37927,25,8336,5,1381,78,24613,0,0,26,5391,87,20856,35,8715,3,422,106,39437,1,312,173,46864,36,11977,199,70852,100,38743,7,1884,24,5150,0,0,5,1625,0,0,10,2519
Balblair_1_1,S,30,32,0,1,13.49557078,5,607,52,8298,23,4727,17,2301,43,6842,10,1279,1,91,2,302,83,12915,61,10628,28,7007,88,11834,3,389,3,436,13,1384,8,953,32,6537,3,519,13,2429,96,15665,74,11815,106,17054,34,5675,3,298,58,10418,84,14087,10,1944,25,4053,40,8691,6,1163,13,2884,20,3088,12,2228,158,25826,14,1923,41,6262,74,11567,83,12316,13,1280,6,814,3,368,197,32961,25,3347,14,2224,7,683,48,8354
Balblair_1_2,S,26,25,0,3,15.28966857,1,84,16,6552,7,4157,29,7466,6,4202,7,1786,0,0,0,0,30,16239,60,20957,19,7403,47,26584,0,0,14,7189,33,8924,21,11363,23,7726,11,3617,2,239,117,32325,35,12508,158,35739,43,19768,1,180,56,23418,93,48405,39,10091,16,4417,56,32676,16,3984,14,3114,53,15826,31,4393,234,38886,22,3601,90,18698,99,17870,124,26305,26,4570,24,3903,0,0,248,42944,24,4581,26,4971,28,4724,63,11671
Balblair_2_1,S,27,27,0,3,15.30316079,3,990,34,6631,10,2145,33,7161,46,12320,24,3114,0,0,2,178,17,4531,57,10941,22,3602,69,17304,1,71,1,119,19,3633,1,1551,23,7456,9,1610,7,1139,68,13453,38,9027,48,6803,6,868,4,2132,38,5399,79,22239,22,4535,6,682,42,8002,10,3199,71,16980,85,18277,4,417,24,7119,32,11725,39,13182,54,21082,14,3082,19,5897,10,1736,12,7497,21,7360,2,315,38,17767,26,6055,7,3029
Balblair_2_2,S,29,28,1,4,14.97844542,6,7371,37,15704,20,7284,26,11436,17,8403,13,5923,0,0,11,2464,39,14158,35,16674,14,7142,24,14849,11,2779,25,9278,27,7857,40,19580,45,18039,10,2387,3,402,131,52677,63,23770,204,68719,43,14487,2,307,57,27223,137,55432,40,18772,18,8608,63,45543,17,9790,21,4847,49,27043,19,2906,115,29613,40,10299,100,23290,113,28428,45,12953,38,10473,18,4395,34,9009,50,14331,10,1518,73,18973,29,6933,24,8354
Balblair_3_1,T,25,29,0,5,15.01921449,7,1742,38,15076,37,16272,12,5620,9,1565,10,2139,0,0,0,0,67,23360,54,11916,40,15764,90,39870,10,6627,20,10466,16,5592,29,12769,64,23106,14,2393,7,1414,95,27203,51,15047,81,17895,59,15461,2,571,38,10452,133,49954,50,13446,17,3503,103,52263,7,1442,14,2996,45,8936,37,12417,32,8587,39,12001,64,18880,35,10103,16,6972,52,20054,2,295,36,16787,9,2826,15,6697,14,2688,5,1692,26,7681
