SID,CID,AGE,GENDER,SE,GE,HS,TM,SATC,PU,pre-test,mid-term,final_score,SAS1,SAS2,SAS3,happy,sad,angry,bored,video_watch,video_time,slide_download,posts,comments,views,attempts,code_edits,code_run,code_time_on_task
S1,C1,20,M,0.438,0.389,0.647,0.286,0.944,1,Medium,0.579,0.579,0.327,0.588,0.588,0.17,0.169,0.097,0.252,6,182.03,8,1,1,4,6,191,327,968.89
S10,C1,23,F,0.375,0.611,0.882,0.571,0.889,1,Low,0.684,0.632,0.409,0.588,0.579,0.109,0.354,0.239,0.168,6,626.24,7,7,4,12,4,77,119,1441.82
S100,C2,24,F,0.438,0.833,0.471,0.714,0.944,0.944,High,0.737,0.737,0.588,0.526,0.526,0.288,0.051,0.175,0.136,8,737.25,7,9,11,20,11,388,243,1454.01
S101,C2,24,F,0.5,0.833,0.882,0.571,0.944,0.889,Low,0.842,0.789,0.737,0.684,0.889,0.235,0.04,0.065,0.089,8,508.12,2,4,5,9,9,80,184,721.31
S102,C2,26,F,0.375,0.444,0.706,0.5,1,0.944,High,0.737,0.789,0.588,0.947,0.737,0.431,0.102,0.108,0.139,8,346.45,7,1,0,1,9,347,348,865.35
S103,C2,22,M,0.438,0.5,0.765,0.5,0.889,0.778,Medium,0.526,0.526,0.511,0.789,0.789,0.104,0.079,0.139,0.02,6,455.64,9,13,6,22,4,76,367,817.46
S104,C2,24,M,0.625,0.722,0.882,0.714,1,0.833,High,0.895,0.632,0.411,0.474,0.474,0.431,0.194,0.095,0.138,7,973.01,5,9,12,21,5,107,176,1413.47
S105,C2,22,F,0.438,0.667,0.824,0.786,1,0.778,High,0.632,0.526,0.491,0.474,0.474,0.025,0.128,0.453,0.049,8,1030.44,3,7,5,12,4,71,369,1106.12
S106,C2,19,TM,0.688,0.667,0.824,0.786,0.889,0.444,Medium,0.737,0.632,0.696,0.588,0.737,0.095,0.225,0.272,0.333,7,382.95,2,6,7,13,6,191,167,1849.15
S107,C2,25,F,0.625,0.667,0.882,0.786,1,0.889,Low,0.684,0.737,0.737,0.947,0.947,0.196,0.107,0.306,0.124,4,1639.55,7,12,8,23,10,369,99,1179.44
S108,C2,18,F,0.375,0.278,0.176,0.143,0.722,0.944,Low,0.474,0.579,0.524,0.588,0.588,0.044,0.251,0.402,0.126,6,381.87,5,9,5,14,5,103,231,1218.89
S109,C2,24,M,0.125,0.167,0.059,0.143,0.833,0.778,Medium,0.526,0.526,0.473,0.474,0.526,0.318,0.212,0.216,0.245,6,191.98,7,7,11,19,5,100,305,856.56
S11,C1,24,TF,0.438,0.444,0.765,0.571,0.778,0.667,Low,0.737,0.632,0.696,0.789,0.789,0.094,0.475,0.249,0.232,7,436.69,2,7,4,11,5,100,113,1111.88
S110,C2,19,TM,0.688,0.889,0.941,0.857,0.944,0.778,Low,0.842,0.737,0.842,0.526,0.526,0.162,0.328,0.334,0.12,8,800.46,4,6,8,18,7,254,260,655.19
S111,C2,24,M,0.438,0.611,0.529,0.5,0.611,0.722,Medium,0.684,0.684,0.45,0.789,0.684,0.305,0.292,0.066,0.312,7,494.19,5,11,7,18,7,251,230,888.84
S112,C2,23,NB,0.875,0.778,0.824,0.929,0.667,0.889,Medium,0.842,0.579,0.665,0.632,0.842,0.352,0.171,0.08,0.214,8,1203.87,4,10,12,22,7,248,299,596.9
S113,C2,20,M,0.438,0.556,0.882,0.5,1,0.889,High,0.684,0.684,0.643,0.789,0.789,0.114,0.041,0.369,0.142,7,411.87,8,15,18,34,6,188,145,546.4
S114,C2,19,M,0.5,0.667,0.882,0.786,0.944,1,Medium,0.737,0.737,0.682,0.786,0.786,0.163,0.234,0.2,0.246,8,956.34,10,9,6,17,6,188,156,1036.86
S115,C2,22,F,0.375,0.611,0.706,0.5,0.722,0.833,High,0.684,0.789,0.682,0.737,0.737,0.302,0.078,0.096,0.112,8,788.29,5,8,2,10,10,363,212,762.69
S116,C2,21,M,0.438,0.778,0.882,0.714,0.889,0.778,High,0.737,0.737,0.45,0.632,0.682,0.433,0.006,0.201,0.063,8,1501.7,7,9,11,20,8,71,40,1116.39
S117,C2,24,F,0.625,0.389,0.706,0.571,1,1,High,0.579,0.579,0.773,0.684,0.579,0.354,0.236,0.322,0.016,6,943.47,10,11,4,19,7,243,294,1263.32
S118,C2,22,F,0.375,0.389,0.471,0.357,0.889,1,High,0.579,0.579,0.614,0.526,0.526,0.069,0.102,0.123,0.266,6,111.26,5,3,4,7,6,187,247,890.35
S119,C2,23,F,0.688,0.444,0.941,0.429,1,0.611,High,0.632,0.632,0.491,0.588,0.588,0.135,0.178,0.135,0.219,7,768.11,6,10,8,18,6,186,210,983.45
S12,C1,20,NB,0.875,0.833,0.941,0.857,0.889,0.944,Medium,0.789,0.737,0.842,0.947,0.947,0.294,0.199,0.181,0.131,6,1700.09,8,9,9,24,6,45,10,1341.2
S120,C2,20,F,0.75,0.444,0.941,0.929,0.833,0.889,High,0.947,0.842,0.71,0.947,0.789,0.435,0.171,0.045,0.141,6,2056.66,5,7,3,10,10,80,80,942.58
S121,C2,23,F,0.25,0.333,0.765,0.357,0.833,0.889,Medium,0.579,0.632,0.491,0.588,0.684,0.239,0.17,0.496,0.354,7,260.56,3,2,3,5,4,65,78,941.66
S122,C2,27,F,0.438,0.889,0.941,0.857,1,0.5,Medium,0.737,0.789,0.804,0.947,0.947,0.244,0.133,0.114,0.101,8,1652.73,8,5,5,10,9,344,168,1111.42
S123,C2,21,M,0.438,0.556,0.706,0.571,0.778,0.833,High,0.579,0.526,0.678,0.632,0.632,0.153,0.018,0.17,0.078,6,735.22,4,7,8,15,3,100,135,778.99
S124,C2,18,M,0.5,0.556,0.647,0.5,1,0.889,Medium,0.579,0.474,0.671,0.588,0.588,0.132,0.053,0.201,0.306,5,703.08,9,1,1,6,3,35,138,1307.78
S125,C2,24,F,0.25,0.556,0.882,0.214,0.654,0.889,Low,0.737,0.684,0.588,0.526,0.526,0.163,0.287,0.408,0.076,7,820.45,3,8,11,19,7,81,112,1034.25
S126,C2,18,F,0.313,0.444,0.765,0.5,1,0.611,Low,0.632,0.632,0.573,0.474,0.579,0.147,0.522,0.24,0.11,8,988.19,5,10,11,21,7,241,236,467.47
S127,C2,27,F,0.25,0.833,0.824,1,0.833,1,High,0.842,0.895,0.696,0.588,0.588,0.365,0.124,0.294,0.105,9,779.53,3,6,11,17,7,238,174,1257.75
